Fecha,Departamento,Categoria,Producto,Unidad,Unidades,Precio_Unitario,Total_Venta
2016-01-01,Puno,Bioseguridad,vulkan s,lt,109,95.0,10355.0
2016-01-01,Puno,Accesorios,chupones,unidad,100,113.92,11392.0
2016-01-01,Puno,Accesorios,comederos,unidad,93,103.91,9663.63
2016-01-01,Puno,Accesorios,slats,unidad,96,140.68,13505.28
2016-01-01,Madre de Dios,Nutricion,phyta value,kg,98,145.27,14236.460000000001
2016-01-01,Madre de Dios,Nutricion,ingaprot,kg,112,70.06,7846.72
2016-01-01,Madre de Dios,Nutricion,inmunoprot,kg,112,42.03,4707.360000000001
2016-01-01,Madre de Dios,Nutricion,fitamix,kg,102,110.48,11268.960000000001
2016-01-01,Madre de Dios,Sanidad,norax s plus,kg,102,99.95,10194.9
2016-01-01,Madre de Dios,Sanidad,tiamuvic,kg,100,116.3,11630.0
2016-01-01,Madre de Dios,Sanidad,florfevic,kg,106,66.73,7073.38
2016-01-01,Madre de Dios,Sanidad,clortevic,kg,94,125.31,11779.14
2016-01-01,Madre de Dios,Bioseguridad,dt foam,lt,100,123.78,12378.0
2016-01-01,Madre de Dios,Bioseguridad,prophyl,lt,104,123.45,12838.800000000001
2016-01-01,Madre de Dios,Bioseguridad,vulkan s,lt,114,68.83,7846.62
2016-01-01,Madre de Dios,Accesorios,chupones,unidad,84,24.67,2072.28
2016-01-01,Madre de Dios,Accesorios,comederos,unidad,99,57.25,5667.75
2016-01-01,Madre de Dios,Accesorios,slats,unidad,103,24.86,2560.58
2016-02-01,Arequipa,Nutricion,phyta value,kg,111,36.52,4053.7200000000003
2016-02-01,Arequipa,Nutricion,ingaprot,kg,101,48.06,4854.06
2016-02-01,Arequipa,Nutricion,inmunoprot,kg,104,26.72,2778.88
2016-02-01,Arequipa,Nutricion,fitamix,kg,101,102.87,10389.87
2016-02-01,Arequipa,Sanidad,norax s plus,kg,100,123.37,12337.0
2016-02-01,Arequipa,Sanidad,tiamuvic,kg,93,30.2,2808.6
2016-02-01,Arequipa,Sanidad,florfevic,kg,111,73.16,8120.759999999999
2016-02-01,Arequipa,Sanidad,clortevic,kg,89,52.53,4675.17
2016-02-01,Arequipa,Bioseguridad,dt foam,lt,101,105.83,10688.83
2016-02-01,Arequipa,Bioseguridad,prophyl,lt,107,99.52,10648.64
2016-02-01,Arequipa,Bioseguridad,vulkan s,lt,98,66.28,6495.4400000000005
2016-02-01,Arequipa,Accesorios,chupones,unidad,108,35.09,3789.7200000000003
2016-02-01,Arequipa,Accesorios,comederos,unidad,76,131.21,9971.960000000001
2016-02-01,Arequipa,Accesorios,slats,unidad,106,32.72,3468.3199999999997
2016-02-01,Moquegua,Nutricion,phyta value,kg,100,42.52,4252.0
2016-02-01,Moquegua,Nutricion,ingaprot,kg,98,100.06,9805.880000000001
2016-02-01,Moquegua,Nutricion,inmunoprot,kg,104,68.7,7144.8
2016-02-01,Moquegua,Nutricion,fitamix,kg,104,131.34,13659.36
2016-02-01,Moquegua,Sanidad,norax s plus,kg,105,29.17,3062.8500000000004
2016-02-01,Moquegua,Sanidad,tiamuvic,kg,104,96.15,9999.6
2016-02-01,Moquegua,Sanidad,florfevic,kg,120,70.46,8455.199999999999
2016-02-01,Moquegua,Sanidad,clortevic,kg,104,90.93,9456.720000000001
2016-02-01,Moquegua,Bioseguridad,dt foam,lt,120,144.95,17394.0
2016-02-01,Moquegua,Bioseguridad,prophyl,lt,116,29.02,3366.32
2016-02-01,Moquegua,Bioseguridad,vulkan s,lt,85,32.28,2743.8
2016-02-01,Moquegua,Accesorios,chupones,unidad,105,61.47,6454.349999999999
2016-02-01,Moquegua,Accesorios,comederos,unidad,112,125.88,14098.56
2016-02-01,Moquegua,Accesorios,slats,unidad,93,110.58,10283.94
2016-02-01,Tacna,Nutricion,phyta value,kg,104,115.56,12018.24
2016-02-01,Tacna,Nutricion,ingaprot,kg,110,43.07,4737.7
2016-02-01,Tacna,Nutricion,inmunoprot,kg,108,148.77,16067.160000000002
2016-02-01,Tacna,Nutricion,fitamix,kg,97,120.93,11730.210000000001
2016-02-01,Tacna,Sanidad,norax s plus,kg,95,131.59,12501.050000000001
2016-02-01,Tacna,Sanidad,tiamuvic,kg,98,118.09,11572.82
2016-02-01,Tacna,Sanidad,florfevic,kg,85,85.68,7282.8
2016-02-01,Tacna,Sanidad,clortevic,kg,111,136.42,15142.619999999999
2016-02-01,Tacna,Bioseguridad,dt foam,lt,97,137.7,13356.9
2016-02-01,Tacna,Bioseguridad,prophyl,lt,84,143.51,12054.84
2016-02-01,Tacna,Bioseguridad,vulkan s,lt,123,102.14,12563.22
2016-02-01,Tacna,Accesorios,chupones,unidad,98,62.73,6147.54
2016-02-01,Tacna,Accesorios,comederos,unidad,105,122.91,12905.55
2016-02-01,Tacna,Accesorios,slats,unidad,109,84.27,9185.43
2016-02-01,Cuzco,Nutricion,phyta value,kg,79,77.4,6114.6
2016-02-01,Cuzco,Nutricion,ingaprot,kg,114,35.22,4015.08
2016-02-01,Cuzco,Nutricion,inmunoprot,kg,88,100.37,8832.560000000001
2016-02-01,Cuzco,Nutricion,fitamix,kg,85,111.13,9446.05
2016-02-01,Cuzco,Sanidad,norax s plus,kg,82,111.81,9168.42
2016-02-01,Cuzco,Sanidad,tiamuvic,kg,83,148.26,12305.58
2016-02-01,Cuzco,Sanidad,florfevic,kg,96,125.66,12063.36
2016-02-01,Cuzco,Sanidad,clortevic,kg,108,30.86,3332.88
2016-02-01,Cuzco,Bioseguridad,dt foam,lt,109,75.15,8191.35
2016-02-01,Cuzco,Bioseguridad,prophyl,lt,116,84.04,9748.640000000001
2016-02-01,Cuzco,Bioseguridad,vulkan s,lt,79,35.28,2787.12
2016-02-01,Cuzco,Accesorios,chupones,unidad,104,95.84,9967.36
2016-02-01,Cuzco,Accesorios,comederos,unidad,127,57.14,7256.78
2016-02-01,Cuzco,Accesorios,slats,unidad,113,145.22,16409.86
2016-02-01,Puno,Nutricion,phyta value,kg,82,146.01,11972.82
2016-02-01,Puno,Nutricion,ingaprot,kg,101,110.45,11155.45
2016-02-01,Puno,Nutricion,inmunoprot,kg,99,95.96,9500.039999999999
2016-02-01,Puno,Nutricion,fitamix,kg,115,56.53,6500.95
2016-02-01,Puno,Sanidad,norax s plus,kg,99,56.06,5549.9400000000005
2016-02-01,Puno,Sanidad,tiamuvic,kg,90,65.94,5934.599999999999
2016-02-01,Puno,Sanidad,florfevic,kg,102,146.67,14960.339999999998
2016-02-01,Puno,Sanidad,clortevic,kg,101,125.79,12704.79
2016-02-01,Puno,Bioseguridad,dt foam,lt,105,138.42,14534.099999999999
2016-02-01,Puno,Bioseguridad,prophyl,lt,107,74.37,7957.59
2016-02-01,Puno,Bioseguridad,vulkan s,lt,119,25.88,3079.72
2016-02-01,Puno,Accesorios,chupones,unidad,88,69.52,6117.759999999999
2016-02-01,Puno,Accesorios,comederos,unidad,111,73.93,8206.230000000001
2016-02-01,Puno,Accesorios,slats,unidad,93,132.41,12314.13
2016-02-01,Madre de Dios,Nutricion,phyta value,kg,112,78.57,8799.84
2016-02-01,Madre de Dios,Nutricion,ingaprot,kg,103,107.32,11053.96
2016-02-01,Madre de Dios,Nutricion,inmunoprot,kg,103,34.76,3580.2799999999997
2016-02-01,Madre de Dios,Nutricion,fitamix,kg,105,120.4,12642.0
2016-02-01,Madre de Dios,Sanidad,norax s plus,kg,101,91.75,9266.75
2016-02-01,Madre de Dios,Sanidad,tiamuvic,kg,102,72.45,7389.900000000001
2016-02-01,Madre de Dios,Sanidad,florfevic,kg,87,118.17,10280.79
2016-02-01,Madre de Dios,Sanidad,clortevic,kg,103,47.69,4912.07
2016-02-01,Madre de Dios,Bioseguridad,dt foam,lt,87,65.58,5705.46
2016-02-01,Madre de Dios,Bioseguridad,prophyl,lt,103,76.87,7917.610000000001
2016-02-01,Madre de Dios,Bioseguridad,vulkan s,lt,116,86.82,10071.119999999999
2016-02-01,Madre de Dios,Accesorios,chupones,unidad,109,100.87,10994.83
2016-02-01,Madre de Dios,Accesorios,comederos,unidad,100,79.69,7969.0
2016-02-01,Madre de Dios,Accesorios,slats,unidad,95,51.22,4865.9
2016-03-01,Arequipa,Nutricion,phyta value,kg,82,36.65,3005.2999999999997
2016-03-01,Arequipa,Nutricion,ingaprot,kg,88,103.31,9091.28
2016-03-01,Arequipa,Nutricion,inmunoprot,kg,90,136.58,12292.2
2016-03-01,Arequipa,Nutricion,fitamix,kg,99,42.4,4197.599999999999
2016-03-01,Arequipa,Sanidad,norax s plus,kg,90,41.96,3776.4
2016-03-01,Arequipa,Sanidad,tiamuvic,kg,93,31.53,2932.29
2016-03-01,Arequipa,Sanidad,florfevic,kg,86,46.82,4026.52
2016-03-01,Arequipa,Sanidad,clortevic,kg,96,109.75,10536.0
2016-03-01,Arequipa,Bioseguridad,dt foam,lt,104,133.57,13891.279999999999
2016-03-01,Arequipa,Bioseguridad,prophyl,lt,117,55.99,6550.83
2016-03-01,Arequipa,Bioseguridad,vulkan s,lt,110,43.99,4838.900000000001
2016-03-01,Arequipa,Accesorios,chupones,unidad,91,82.99,7552.089999999999
2016-03-01,Arequipa,Accesorios,comederos,unidad,103,80.13,8253.39
2016-03-01,Arequipa,Accesorios,slats,unidad,108,52.82,5704.56
2016-03-01,Moquegua,Nutricion,phyta value,kg,106,86.52,9171.119999999999
2016-03-01,Moquegua,Nutricion,ingaprot,kg,101,78.16,7894.16
2016-03-01,Moquegua,Nutricion,inmunoprot,kg,101,55.0,5555.0
2016-03-01,Moquegua,Nutricion,fitamix,kg,96,61.87,5939.5199999999995
2016-03-01,Moquegua,Sanidad,norax s plus,kg,91,35.57,3236.87
2016-03-01,Moquegua,Sanidad,tiamuvic,kg,114,108.28,12343.92
2016-03-01,Moquegua,Sanidad,florfevic,kg,109,31.3,3411.7000000000003
2016-03-01,Moquegua,Sanidad,clortevic,kg,101,116.91,11807.91
2016-03-01,Moquegua,Bioseguridad,dt foam,lt,98,56.89,5575.22
2016-03-01,Moquegua,Bioseguridad,prophyl,lt,96,94.2,9043.2
2016-03-01,Moquegua,Bioseguridad,vulkan s,lt,96,98.75,9480.0
2016-03-01,Moquegua,Accesorios,chupones,unidad,92,39.87,3668.04
2016-03-01,Moquegua,Accesorios,comederos,unidad,92,44.25,4071.0
2016-03-01,Moquegua,Accesorios,slats,unidad,93,136.58,12701.94
2016-03-01,Tacna,Nutricion,phyta value,kg,83,73.35,6088.049999999999
2016-03-01,Tacna,Nutricion,ingaprot,kg,97,132.52,12854.44
2016-03-01,Tacna,Nutricion,inmunoprot,kg,110,42.22,4644.2
2016-03-01,Tacna,Nutricion,fitamix,kg,102,56.4,5752.8
2016-03-01,Tacna,Sanidad,norax s plus,kg,108,62.08,6704.639999999999
2016-03-01,Tacna,Sanidad,tiamuvic,kg,98,51.51,5047.98
2016-03-01,Tacna,Sanidad,florfevic,kg,86,57.52,4946.72
2016-03-01,Tacna,Sanidad,clortevic,kg,102,82.55,8420.1
2016-03-01,Tacna,Bioseguridad,dt foam,lt,101,63.76,6439.76
2016-03-01,Tacna,Bioseguridad,prophyl,lt,87,148.69,12936.03
2016-03-01,Tacna,Bioseguridad,vulkan s,lt,95,53.1,5044.5
2016-03-01,Tacna,Accesorios,chupones,unidad,105,97.43,10230.150000000001
2016-03-01,Tacna,Accesorios,comederos,unidad,99,65.35,6469.65
2016-03-01,Tacna,Accesorios,slats,unidad,118,145.45,17163.1
2016-03-01,Cuzco,Nutricion,phyta value,kg,86,141.98,12210.279999999999
2016-03-01,Cuzco,Nutricion,ingaprot,kg,89,116.35,10355.15
2016-03-01,Cuzco,Nutricion,inmunoprot,kg,102,38.17,3893.34
2016-03-01,Cuzco,Nutricion,fitamix,kg,109,41.28,4499.52
2016-03-01,Cuzco,Sanidad,norax s plus,kg,89,106.48,9476.720000000001
2016-03-01,Cuzco,Sanidad,tiamuvic,kg,101,134.04,13538.039999999999
2016-03-01,Cuzco,Sanidad,florfevic,kg,97,77.09,7477.7300000000005
2016-03-01,Cuzco,Sanidad,clortevic,kg,96,59.18,5681.28
2016-03-01,Cuzco,Bioseguridad,dt foam,lt,108,50.19,5420.5199999999995
2016-03-01,Cuzco,Bioseguridad,prophyl,lt,115,90.66,10425.9
2016-03-01,Cuzco,Bioseguridad,vulkan s,lt,116,35.2,4083.2000000000003
2016-03-01,Cuzco,Accesorios,chupones,unidad,120,63.54,7624.8
2016-03-01,Cuzco,Accesorios,comederos,unidad,87,100.61,8753.07
2016-03-01,Cuzco,Accesorios,slats,unidad,101,122.52,12374.52
2016-03-01,Puno,Nutricion,phyta value,kg,88,52.3,4602.4
2016-03-01,Puno,Nutricion,ingaprot,kg,107,94.09,10067.630000000001
2016-03-01,Puno,Nutricion,inmunoprot,kg,108,64.47,6962.76
2016-03-01,Puno,Nutricion,fitamix,kg,110,130.04,14304.4
2016-03-01,Puno,Sanidad,norax s plus,kg,87,123.65,10757.550000000001
2016-03-01,Puno,Sanidad,tiamuvic,kg,88,113.89,10022.32
2016-03-01,Puno,Sanidad,florfevic,kg,107,110.21,11792.47
2016-03-01,Puno,Sanidad,clortevic,kg,101,64.94,6558.94
2016-03-01,Puno,Bioseguridad,dt foam,lt,90,95.84,8625.6
2016-03-01,Puno,Bioseguridad,prophyl,lt,97,143.15,13885.550000000001
2016-03-01,Puno,Bioseguridad,vulkan s,lt,88,85.77,7547.759999999999
2016-03-01,Puno,Accesorios,chupones,unidad,103,133.38,13738.14
2016-03-01,Puno,Accesorios,comederos,unidad,119,110.56,13156.64
2016-03-01,Puno,Accesorios,slats,unidad,117,39.83,4660.11
2016-03-01,Madre de Dios,Nutricion,phyta value,kg,102,75.14,7664.28
2016-03-01,Madre de Dios,Nutricion,ingaprot,kg,118,34.72,4096.96
2016-03-01,Madre de Dios,Nutricion,inmunoprot,kg,87,133.09,11578.83
2016-03-01,Madre de Dios,Nutricion,fitamix,kg,100,71.87,7187.0
2016-03-01,Madre de Dios,Sanidad,norax s plus,kg,79,124.37,9825.23
2016-03-01,Madre de Dios,Sanidad,tiamuvic,kg,97,139.58,13539.260000000002
2016-03-01,Madre de Dios,Sanidad,florfevic,kg,95,115.88,11008.6
2016-03-01,Madre de Dios,Sanidad,clortevic,kg,99,78.82,7803.179999999999
2016-03-01,Madre de Dios,Bioseguridad,dt foam,lt,87,84.79,7376.7300000000005
2016-03-01,Madre de Dios,Bioseguridad,prophyl,lt,98,67.11,6576.78
2016-03-01,Madre de Dios,Bioseguridad,vulkan s,lt,102,21.7,2213.4
2016-03-01,Madre de Dios,Accesorios,chupones,unidad,105,144.94,15218.699999999999
2016-03-01,Madre de Dios,Accesorios,comederos,unidad,88,31.1,2736.8
2016-03-01,Madre de Dios,Accesorios,slats,unidad,103,117.49,12101.47
2016-04-01,Arequipa,Nutricion,phyta value,kg,91,46.67,4246.97
2016-04-01,Arequipa,Nutricion,ingaprot,kg,90,81.37,7323.3
2016-04-01,Arequipa,Nutricion,inmunoprot,kg,102,120.82,12323.64
2016-04-01,Arequipa,Nutricion,fitamix,kg,99,77.3,7652.7
2016-04-01,Arequipa,Sanidad,norax s plus,kg,97,40.18,3897.46
2016-04-01,Arequipa,Sanidad,tiamuvic,kg,90,143.0,12870.0
2016-04-01,Arequipa,Sanidad,florfevic,kg,96,103.72,9957.119999999999
2016-04-01,Arequipa,Sanidad,clortevic,kg,97,40.3,3909.1
2016-04-01,Arequipa,Bioseguridad,dt foam,lt,106,23.52,2493.12
2016-04-01,Arequipa,Bioseguridad,prophyl,lt,91,107.35,9768.85
2016-04-01,Arequipa,Bioseguridad,vulkan s,lt,110,104.86,11534.6
2016-04-01,Arequipa,Accesorios,chupones,unidad,92,51.61,4748.12
2016-04-01,Arequipa,Accesorios,comederos,unidad,107,127.93,13688.51
2016-04-01,Arequipa,Accesorios,slats,unidad,97,46.65,4525.05
2016-04-01,Moquegua,Nutricion,phyta value,kg,94,21.69,2038.8600000000001
2016-04-01,Moquegua,Nutricion,ingaprot,kg,83,23.45,1946.35
2016-04-01,Moquegua,Nutricion,inmunoprot,kg,89,74.79,6656.31
2016-04-01,Moquegua,Nutricion,fitamix,kg,115,64.44,7410.599999999999
2016-04-01,Moquegua,Sanidad,norax s plus,kg,93,96.74,8996.82
2016-04-01,Moquegua,Sanidad,tiamuvic,kg,93,73.22,6809.46
2016-04-01,Moquegua,Sanidad,florfevic,kg,101,58.28,5886.28
2016-04-01,Moquegua,Sanidad,clortevic,kg,122,38.21,4661.62
2016-04-01,Moquegua,Bioseguridad,dt foam,lt,113,136.29,15400.769999999999
2016-04-01,Moquegua,Bioseguridad,prophyl,lt,110,22.92,2521.2000000000003
2016-04-01,Moquegua,Bioseguridad,vulkan s,lt,93,102.35,9518.55
2016-04-01,Moquegua,Accesorios,chupones,unidad,92,128.54,11825.679999999998
2016-04-01,Moquegua,Accesorios,comederos,unidad,89,22.39,1992.71
2016-04-01,Moquegua,Accesorios,slats,unidad,117,94.95,11109.15
2016-04-01,Tacna,Nutricion,phyta value,kg,93,104.68,9735.24
2016-04-01,Tacna,Nutricion,ingaprot,kg,111,21.43,2378.73
2016-04-01,Tacna,Nutricion,inmunoprot,kg,113,98.07,11081.91
2016-04-01,Tacna,Nutricion,fitamix,kg,105,138.87,14581.35
2016-04-01,Tacna,Sanidad,norax s plus,kg,98,87.46,8571.08
2016-04-01,Tacna,Sanidad,tiamuvic,kg,77,115.94,8927.38
2016-04-01,Tacna,Sanidad,florfevic,kg,83,51.9,4307.7
2016-04-01,Tacna,Sanidad,clortevic,kg,97,66.24,6425.28
2016-04-01,Tacna,Bioseguridad,dt foam,lt,107,93.63,10018.41
2016-04-01,Tacna,Bioseguridad,prophyl,lt,99,141.79,14037.21
2016-04-01,Tacna,Bioseguridad,vulkan s,lt,107,24.05,2573.35
2016-04-01,Tacna,Accesorios,chupones,unidad,93,26.69,2482.17
2016-04-01,Tacna,Accesorios,comederos,unidad,100,63.45,6345.0
2016-04-01,Tacna,Accesorios,slats,unidad,108,29.77,3215.16
2016-04-01,Cuzco,Nutricion,phyta value,kg,107,109.49,11715.43
2016-04-01,Cuzco,Nutricion,ingaprot,kg,98,126.48,12395.04
2016-04-01,Cuzco,Nutricion,inmunoprot,kg,110,55.38,6091.8
2016-04-01,Cuzco,Nutricion,fitamix,kg,103,31.91,3286.73
2016-04-01,Cuzco,Sanidad,norax s plus,kg,117,143.53,16793.01
2016-04-01,Cuzco,Sanidad,tiamuvic,kg,98,90.45,8864.1
2016-04-01,Cuzco,Sanidad,florfevic,kg,113,124.85,14108.05
2016-04-01,Cuzco,Sanidad,clortevic,kg,105,130.4,13692.0
2016-04-01,Cuzco,Bioseguridad,dt foam,lt,92,48.76,4485.92
2016-04-01,Cuzco,Bioseguridad,prophyl,lt,118,93.83,11071.94
2016-04-01,Cuzco,Bioseguridad,vulkan s,lt,117,110.66,12947.22
2016-04-01,Cuzco,Accesorios,chupones,unidad,94,146.24,13746.560000000001
2016-04-01,Cuzco,Accesorios,comederos,unidad,121,132.07,15980.47
2016-04-01,Cuzco,Accesorios,slats,unidad,112,127.76,14309.12
2016-04-01,Puno,Nutricion,phyta value,kg,91,30.0,2730.0
2016-04-01,Puno,Nutricion,ingaprot,kg,106,114.22,12107.32
2016-04-01,Puno,Nutricion,inmunoprot,kg,81,90.13,7300.53
2016-04-01,Puno,Nutricion,fitamix,kg,109,101.37,11049.33
2016-04-01,Puno,Sanidad,norax s plus,kg,114,50.28,5731.92
2016-04-01,Puno,Sanidad,tiamuvic,kg,101,123.84,12507.84
2016-04-01,Puno,Sanidad,florfevic,kg,108,82.38,8897.039999999999
2016-04-01,Puno,Sanidad,clortevic,kg,104,147.93,15384.720000000001
2016-04-01,Puno,Bioseguridad,dt foam,lt,108,74.78,8076.24
2016-04-01,Puno,Bioseguridad,prophyl,lt,107,34.36,3676.52
2016-04-01,Puno,Bioseguridad,vulkan s,lt,96,58.52,5617.92
2016-04-01,Puno,Accesorios,chupones,unidad,92,22.32,2053.44
2016-04-01,Puno,Accesorios,comederos,unidad,97,48.37,4691.889999999999
2016-04-01,Puno,Accesorios,slats,unidad,122,31.62,3857.6400000000003
2016-04-01,Madre de Dios,Nutricion,phyta value,kg,98,142.82,13996.359999999999
2016-04-01,Madre de Dios,Nutricion,ingaprot,kg,99,41.71,4129.29
2016-04-01,Madre de Dios,Nutricion,inmunoprot,kg,121,99.01,11980.210000000001
2016-04-01,Madre de Dios,Nutricion,fitamix,kg,100,42.95,4295.0
2016-04-01,Madre de Dios,Sanidad,norax s plus,kg,91,121.35,11042.85
2016-04-01,Madre de Dios,Sanidad,tiamuvic,kg,95,145.98,13868.099999999999
2016-04-01,Madre de Dios,Sanidad,florfevic,kg,97,110.48,10716.56
2016-04-01,Madre de Dios,Sanidad,clortevic,kg,88,49.18,4327.84
2016-04-01,Madre de Dios,Bioseguridad,dt foam,lt,91,97.08,8834.28
2016-04-01,Madre de Dios,Bioseguridad,prophyl,lt,102,134.07,13675.14
2016-04-01,Madre de Dios,Bioseguridad,vulkan s,lt,93,135.54,12605.22
2016-04-01,Madre de Dios,Accesorios,chupones,unidad,110,91.61,10077.1
2016-04-01,Madre de Dios,Accesorios,comederos,unidad,83,68.45,5681.35
2016-04-01,Madre de Dios,Accesorios,slats,unidad,93,84.46,7854.78
2016-05-01,Arequipa,Nutricion,phyta value,kg,83,108.82,9032.06
2016-05-01,Arequipa,Nutricion,ingaprot,kg,82,84.37,6918.34
2016-05-01,Arequipa,Nutricion,inmunoprot,kg,99,127.21,12593.789999999999
2016-05-01,Arequipa,Nutricion,fitamix,kg,95,93.55,8887.25
2016-05-01,Arequipa,Sanidad,norax s plus,kg,93,123.67,11501.31
2016-05-01,Arequipa,Sanidad,tiamuvic,kg,105,132.75,13938.75
2016-05-01,Arequipa,Sanidad,florfevic,kg,106,110.67,11731.02
2016-05-01,Arequipa,Sanidad,clortevic,kg,105,117.85,12374.25
2016-05-01,Arequipa,Bioseguridad,dt foam,lt,113,127.36,14391.68
2016-05-01,Arequipa,Bioseguridad,prophyl,lt,87,116.66,10149.42
2016-05-01,Arequipa,Bioseguridad,vulkan s,lt,89,128.18,11408.02
2016-05-01,Arequipa,Accesorios,chupones,unidad,100,57.31,5731.0
2016-05-01,Arequipa,Accesorios,comederos,unidad,104,102.42,10651.68
2016-05-01,Arequipa,Accesorios,slats,unidad,101,33.91,3424.91
2016-05-01,Moquegua,Nutricion,phyta value,kg,108,145.19,15680.52
